,name,artist
0,Last Night,Morgan Wallen
1,Flowers,Miley Cyrus
2,Kill Bill,SZA
3,Die For You,The Weeknd & Ariana Grande
4,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
5,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
6,Thought You Should Know,Morgan Wallen
7,You Proof,Morgan Wallen
8,Thinkin' Bout Me,Morgan Wallen
9,One Thing At A Time,Morgan Wallen
10,Ain't That Some,Morgan Wallen
11,Anti-Hero,Taylor Swift
12,Red Ruby Da Sleeze,Nicki Minaj
13,Everything I Love,Morgan Wallen
14,Man Made A Bar,Morgan Wallen Featuring Eric Church
15,Unholy,Sam Smith & Kim Petras
16,TQG,Karol G x Shakira
17,I Wrote The Book,Morgan Wallen
18,Calm Down,Rema & Selena Gomez
19,Rock And A Hard Place,Bailey Zimmerman
20,I'm Good (Blue),David Guetta & Bebe Rexha
21,Just Wanna Rock,Lil Uzi Vert
22,As It Was,Harry Styles
23,Players,Coi Leray
24,Cuff It,Beyonce
25,Under The Influence,Chris Brown
26,'98 Braves,Morgan Wallen
27,Thank God,Kane Brown With Katelyn Brown
28,Devil Don't Know,Morgan Wallen
29,Sunrise,Morgan Wallen
30,Lavender Haze,Taylor Swift
31,Born With A Beer In My Hand,Morgan Wallen
32,Escapism,RAYE Featuring 070 Shake
33,Rich Flex,Drake & 21 Savage
34,Whiskey Friends,Morgan Wallen
35,"Going, Going, Gone",Luke Combs
36,Sure Thing,Miguel
37,Tennessee Numbers,Morgan Wallen
38,Until I Found You,Stephen Sanchez
39,Cowgirls,Morgan Wallen Featuring ERNEST
40,Hope That's True,Morgan Wallen
41,Something In The Orange,Zach Bryan
42,Dying Man,Morgan Wallen
43,Keith Whitley,Morgan Wallen
44,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
45,Snooze,SZA
46,In The Bible,Morgan Wallen Featuring HARDY
47,Neon Star (Country Boy Lullaby),Morgan Wallen
48,Golden Hour,JVKE
49,Shirt,SZA
50,Me + All Your Reasons,Morgan Wallen
51,I Deserve A Drink,Morgan Wallen
52,F150-50,Morgan Wallen
53,Tennessee Fan,Morgan Wallen
54,Heart Like A Truck,Lainey Wilson
55,Single Than She Was,Morgan Wallen
56,Made You Look,Meghan Trainor
57,Wait In The Truck,HARDY Featuring Lainey Wilson
58,Wine Into Water,Morgan Wallen
59,On The Street,j-hope With J. Cole
60,Days That End In Why,Morgan Wallen
61,Painting Pictures,Superstar Pride
62,180 (Lifestyle),Morgan Wallen
63,Bebe Dame,Fuerza Regida X Grupo Frontera
64,Last Drive Down Main,Morgan Wallen
65,Bloody Mary,Lady Gaga
66,Favorite Song,Toosii
67,Spin Bout U,Drake & 21 Savage
68,Good Girl Gone Missin',Morgan Wallen
69,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
70,Me To Me,Morgan Wallen
71,Money On Me,Morgan Wallen
72,Nobody Gets Me,SZA
73,Love You Anyway,Luke Combs
74,Had It,Morgan Wallen
75,Outlook,Morgan Wallen
76,Don't Think Jesus,Morgan Wallen
77,Special,Lizzo Featuring SZA
78,What He Didn't Do,Carly Pearce
79,Ceilings,Lizzy McAlpine
80,Wild As Her,Corey Kent
81,Watch This (ARIZONATEARS Pluggnb Remix),Lil Uzi Vert
82,Handle On You,Parker McCollum
83,Next Thing You Know,Jordan Davis
84,In Ha Mood,Ice Spice
85,Freestyle,Lil Baby
86,Dawns,Zach Bryan Featuring Maggie Rogers
87,Love Again,The Kid LAROI
88,Private Landing,Don Toliver Featuring Justin Bieber & Future
89,Que Vuelvas,Carin Leon X Grupo Frontera
90,Tennessee Orange,Megan Moroney
91,Low,SZA
92,X Si Volvemos,Karol G x Romeo Santos
93,Trance,"Metro Boomin, Travis Scott & Young Thug"
94,Forever,Lil Baby Featuring Fridayy
95,Nonsense,Sabrina Carpenter
96,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
97,Lift Me Up,Rihanna
98,You Didn't,Brett Young
99,10:35,Tiesto Featuring Tate McRae
